"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2025-3-20","38.0000","37.8713","38.0392","37.8549","","0.00%"
"2025-3-19","37.9987","36.6875","41.2164","36.5738","","3.59%"
"2025-3-18","36.6825","36.6363","36.7878","36.5220","","0.60%"
"2025-3-17","36.4651","36.6600","36.7799","36.5261","","-0.13%"
"2025-3-14","36.5133","36.6211","36.9945","36.4544","","0.27%"
"2025-3-13","36.4132","36.5879","36.7095","36.4864","","-0.07%"
"2025-3-12","36.4374","36.5970","36.7557","36.4486","","-0.34%"
"2025-3-11","36.5621","36.5471","36.7277","36.2759","","0.07%"
"2025-3-10","36.5370","36.4559","36.6776","36.3480","","0.14%"
"2025-3-7","36.4861","36.4144","36.6479","36.2236","","0.28%"
"2025-3-6","36.3854","36.4371","36.5617","36.2982","","-0.11%"
"2025-3-5","36.4241","36.4465","36.5503","36.3242","","-0.04%"
"2025-3-4","36.4404","36.4460","36.5750","36.3265","","0.00%"
"2025-3-3","36.4416","36.5154","36.6989","36.2733","","0.13%"
"2025-2-28","36.3935","36.4399","36.6948","36.2741","","-0.04%"
"2025-2-27","36.4088","36.4593","36.5485","36.2626","","-0.10%"
"2025-2-26","36.4470","36.4504","36.5711","36.3226","","0.08%"
"2025-2-25","36.4186","36.6850","36.7232","36.3270","","-0.01%"
"2025-2-24","36.4237","36.4300","36.6188","36.2156","","0.11%"
"2025-2-21","36.3822","36.2520","36.6859","36.1833","","0.36%"
"2025-2-20","36.2502","36.2995","36.3776","36.1821","","-0.04%"
"2025-2-19","36.2652","36.2825","36.4077","36.1742","","0.03%"
"2025-2-18","36.2549","36.2340","36.4014","36.0819","","0.12%"
"2025-2-17","36.2114","36.2195","36.4313","35.9846","","0.00%"
"2025-2-14","36.2130","36.1377","36.4175","36.0420","","0.25%"
"2025-2-13","36.1213","36.1013","36.2701","35.9613","","0.08%"
"2025-2-12","36.0936","36.0413","36.2357","35.8773","","0.20%"
"2025-2-11","36.0220","35.9816","36.1397","35.8455","","0.08%"
"2025-2-10","35.9933","35.9915","36.2224","35.7370","","0.02%"
"2025-2-7","35.9863","35.8850","36.1475","35.4093","","0.35%"
